city,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h
阿坝州,43,8,32,0.35,1,95,85,7
阿克苏地区,129,46,206,0.65,6,116,74,4
阿拉善盟,70,16,87,0.33,4,117,106,8
阿勒泰地区,27,8,0,0.5,16,50,52,6
阿里地区,28,6,0,0.9,3,78,55,6
安康,47,19,46,0.4,8,111,85,7
安庆,43,30,38,1.13,26,48,35,6
鞍山,41,13,38,0.56,15,89,80,10
安顺,57,34,46,0.55,20,130,107,19
安阳,83,22,113,0.53,16,86,81,10
白城,48,12,18,0.2,6,104,95,9
百色,74,53,60,1.1,15,102,57,17
白山,44,0,0,0.5,5,99,86,6
白银,138,71,223,0.4,15,102,94,33
保定,39,12,38,0.2,10,81,75,7
宝鸡,122,48,192,0.5,10,120,88,7
保山,50,21,48,0.5,9,106,98,4
包头,44,11,20,0.48,10,92,87,8
巴彦淖尔,41,16,31,0.4,12,90,81,7
巴中,34,17,31,0.3,9,108,67,3
北海,35,21,34,0.6,9,79,66,6
北京,56,26,60,0.53,20,63,57,7
蚌埠,97,72,129,0.76,20,112,86,13
本溪,44,12,43,0.52,20,79,71,12
毕节,50,14,26,0.45,12,109,98,8
滨州,46,5,45,0.6,22,71,77,8
博州,33,0,0,0.2,14,97,65,11
亳州,105,78,112,0.55,18,137,109,8
沧州,41,15,30,0.63,18,77,80,12
长春,41,11,25,0.31,11,91,80,4
常德,53,32,54,0.92,15,102,74,9
昌都,28,9,20,0.0,7,82,54,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,41,10,18,0.45,11,90,80,10
长沙,61,43,50,0.67,14,113,82,6
常熟,75,43,98,0.57,45,73,58,13
长治,98,51,143,1.12,34,93,82,17
常州,78,57,93,1.0,52,68,48,15
朝阳,40,13,23,0.65,8,86,78,10
潮州,53,33,52,0.8,13,122,102,11
承德,39,12,30,0.5,15,77,77,8
成都,51,26,50,0.5,17,120,89,5
郴州,36,19,35,0.78,10,66,59,6
赤峰,34,11,22,0.33,18,78,67,15
池州,49,34,39,0.7,35,55,33,5
重庆,66,47,75,0.66,29,139,81,10
崇左,64,45,70,0.65,15,64,35,8
楚雄州,71,23,30,0.55,8,127,123,11
滁州,130,98,149,0.83,24,115,75,16
大连,45,14,44,0.41,22,81,77,9
大理州,46,15,35,0.4,0,108,91,0
丹东,43,11,27,0.55,13,85,85,15
大庆,43,17,26,0.24,8,102,85,3
大同,42,18,41,0.87,13,86,81,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,43,10,0,0.2,8,90,84,12
达州,56,32,60,0.64,18,119,60,4
德宏州,48,32,47,0.5,13,96,61,7
德阳,65,31,77,0.45,23,122,77,5
德州,43,6,42,0.4,17,81,77,7
定西,150,29,249,0.45,10,106,78,5
迪庆州,43,8,29,0.3,6,102,84,6
东莞,43,27,42,0.66,18,82,59,7
东营,45,8,32,0.3,15,81,88,4
鄂尔多斯,41,7,26,0.44,8,95,81,5
恩施州,52,32,51,0.4,11,85,34,7
鄂州,55,38,53,1.23,40,48,26,9
防城港,48,25,47,0.8,35,33,19,5
佛山,55,31,58,0.69,31,78,56,8
抚顺,42,8,21,0.33,7,111,82,8
阜新,44,4,19,0.28,3,93,86,5
阜阳,135,102,121,0.8,16,109,63,4
富阳,0,0,0,0.0,0,0,0,0
福州,76,43,100,0.6,21,146,91,7
抚州,23,16,22,1.08,10,44,27,5
甘南州,64,20,76,0.7,8,109,90,3
赣州,53,23,53,1.23,18,65,66,5
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,52,13,51,0.2,14,74,67,22
广安,50,26,49,0.5,15,137,86,6
广元,36,9,35,0.3,11,91,56,15
广州,53,31,54,0.69,36,101,67,5
贵港,67,45,81,0.87,32,20,12,23
桂林,56,39,47,0.6,15,50,23,14
贵阳,68,40,75,0.54,16,146,120,9
果洛州,39,1,4,0.6,7,123,72,14
固原,147,34,241,0.5,12,108,92,8
哈尔滨,40,21,39,0.47,12,85,77,6
海北州,61,17,41,0.3,5,114,112,11
海东地区,57,20,61,0.3,12,111,86,6
海口,33,12,32,0.38,13,66,59,4
海门,58,39,64,0.55,19,75,73,10
海南州,69,29,86,0.6,2,115,105,9
海西州,73,21,93,0.4,6,98,89,6
哈密地区,57,11,62,0.5,0,0,78,3
邯郸,68,19,83,0.33,16,96,85,5
杭州,67,47,82,0.95,58,79,81,7
汉中,64,27,76,0.83,15,114,70,12
鹤壁,66,24,79,0.33,18,88,79,12
河池,52,29,51,0.9,14,69,33,7
合肥,57,33,61,0.78,30,99,48,8
鹤岗,42,9,18,0.43,2,85,83,3
黑河,43,13,14,0.4,6,87,85,7
衡水,53,19,53,0.37,15,89,86,6
衡阳,45,31,35,0.72,21,71,41,11
和田地区,159,69,265,0.4,7,98,66,9
河源,44,26,43,0.9,18,102,69,5
菏泽,103,37,153,0.73,21,78,67,15
贺州,59,41,0,0.4,0,26,14,12
红河州,77,56,81,0.5,7,130,115,11
淮安,72,25,92,0.5,18,112,102,9
淮北,85,62,115,0.77,13,122,107,11
怀化,44,24,43,0.88,4,84,49,8
淮南,115,86,147,0.74,27,116,68,9
黄冈,60,42,64,1.45,39,39,27,17
黄南州,64,16,76,0.4,7,96,75,8
黄山,58,38,63,1.05,34,35,37,7
黄石,54,33,56,1.08,29,61,31,9
呼和浩特,43,4,12,0.5,10,98,85,7
惠州,53,31,54,0.56,23,110,79,5
葫芦岛,40,8,22,0.38,9,86,78,7
呼伦贝尔,42,9,16,0.35,5,87,82,2
湖州,88,65,81,1.07,66,49,65,12
佳木斯,42,14,23,0.34,10,82,82,5
吉安,60,37,68,0.78,26,25,65,11
江门,45,20,44,0.74,22,55,49,8
江阴,100,75,120,1.1,51,88,59,14
胶南,42,2,27,0.6,4,86,83,2
胶州,55,9,57,0.6,20,92,83,5
焦作,86,45,119,0.73,22,108,94,12
嘉兴,106,79,106,1.27,71,46,64,6
嘉峪关,64,32,76,1.25,23,105,88,39
揭阳,47,20,46,0.75,9,90,80,7
吉林,47,14,31,0.47,8,104,92,6
即墨,46,5,37,0.3,8,95,91,5
济南,90,36,127,0.79,48,63,64,22
金昌,53,8,54,0.5,4,101,95,3
晋城,114,62,175,1.12,31,110,95,17
景德镇,24,14,23,0.6,15,16,13,5
荆门,69,45,86,0.76,22,89,61,12
荆州,69,46,85,0.8,25,83,43,12
金华,20,14,19,0.63,38,42,27,5
济宁,91,65,129,0.77,18,140,118,25
金坛,100,75,125,1.15,64,41,47,11
晋中,77,28,102,0.75,29,84,78,15
锦州,50,14,49,0.43,17,75,75,12
九江,46,32,35,0.47,36,37,40,5
酒泉,53,17,53,0.6,18,115,82,15
鸡西,36,10,15,0.35,10,71,70,4
句容,94,70,132,0.95,31,98,66,6
开封,90,36,128,0.57,17,92,75,11
喀什地区,136,83,220,0.47,9,97,53,5
克拉玛依,42,10,41,0.34,10,99,70,6
克州,105,37,158,1.8,10,89,64,6
库尔勒,75,31,97,0.57,8,101,88,3
昆明,56,29,35,0.78,16,121,105,10
昆山,64,45,71,1.25,56,56,56,11
来宾,52,32,52,0.6,13,57,38,9
莱芜,88,65,99,0.67,18,89,77,10
莱西,49,11,48,0.3,5,78,78,5
莱州,58,13,64,0.6,19,82,86,19
廊坊,45,15,44,0.63,20,76,67,4
兰州,120,47,187,0.47,23,117,83,7
拉萨,37,13,36,0.46,9,92,70,5
乐山,42,20,35,0.4,10,131,83,4
凉山州,60,16,28,0.53,9,121,110,8
连云港,45,19,43,0.62,18,92,89,8
聊城,86,30,120,0.8,38,54,44,19
辽阳,41,13,23,0.48,7,93,80,9
辽源,40,9,15,0.7,4,90,79,20
丽江,47,3,27,0.5,12,104,92,5
临安,49,29,48,0.5,45,67,73,4
临沧,48,33,40,0.8,8,121,94,10
临汾,97,47,141,0.93,10,113,76,13
临夏州,108,57,164,0.3,7,114,80,7
临沂,54,25,55,0.33,21,97,85,6
林芝,44,10,17,0.35,10,104,87,2
林芝地区,18,4,16,0.35,6,51,35,3
丽水,44,25,43,1.03,30,47,58,6
六盘水,58,32,64,0.5,16,117,104,12
柳州,46,32,43,0.6,13,48,37,5
溧阳,135,102,170,1.6,67,25,38,6
陇南,71,13,89,0.55,5,110,67,7
龙岩,44,25,43,0.55,15,71,71,6
娄底,43,26,42,0.73,16,96,82,11
六安,59,41,62,0.68,36,49,30,10
漯河,116,75,180,0.63,17,83,60,10
洛阳,138,56,224,0.57,35,93,77,11
泸州,63,44,57,0.37,19,159,96,8
吕梁,85,17,117,0.4,6,109,72,6
马鞍山,81,59,88,1.2,44,70,60,14
茂名,33,18,32,0.45,5,52,51,2
眉山,63,20,61,0.45,11,169,113,7
梅州,42,19,41,0.6,11,76,53,6
绵阳,51,25,50,0.4,10,142,76,5
牡丹江,42,20,36,0.36,14,85,82,3
南昌,33,12,32,0.72,24,38,23,4
南充,64,45,58,0.54,10,121,77,4
南京,157,119,167,0.97,55,67,52,13
南宁,59,34,66,0.84,41,22,20,6
南平,74,53,64,1.2,21,83,78,5
南通,77,56,86,0.66,25,111,104,12
南阳,89,66,110,0.94,21,121,108,6
那曲地区,33,13,23,0.63,5,69,64,4
内江,48,27,47,0.5,19,148,93,13
宁波,70,50,82,0.8,86,44,57,7
宁德,67,48,69,0.75,23,115,66,9
怒江州,34,22,33,0.85,9,98,65,8
盘锦,45,11,29,0.47,10,92,88,11
攀枝花,44,24,37,0.48,20,139,82,12
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,104,58,156,0.88,26,120,84,20
平度,56,23,59,0.6,18,74,78,2
平凉,139,36,226,0.5,5,113,96,4
萍乡,48,26,47,0.7,20,42,17,9
普洱,72,52,67,0.7,13,140,110,5
莆田,54,19,56,0.46,15,101,85,7
濮阳,86,37,119,0.63,21,83,66,11
黔东南州,49,34,46,0.65,17,130,93,15
黔南州,57,38,62,0.4,13,129,75,14
黔西南州,52,31,52,0.1,10,107,68,2
青岛,43,10,41,0.4,14,91,84,5
庆阳,174,53,296,0.27,5,103,90,3
清远,74,53,87,0.93,73,43,30,149
秦皇岛,39,11,29,0.26,12,83,76,8
钦州,49,25,48,3.33,32,39,29,29
齐齐哈尔,40,13,22,0.34,9,79,78,9
七台河,48,18,47,0.5,12,90,90,4
泉州,45,14,44,0.4,12,58,58,7
曲靖,56,28,43,0.6,8,127,105,10
衢州,17,4,8,0.77,32,27,22,3
日喀则,39,7,24,0.5,10,96,77,7
日喀则地区,29,6,27,0.35,2,68,56,5
日照,50,13,49,0.1,7,94,90,3
荣成,46,0,21,0.5,16,79,90,6
乳山,46,6,45,0.45,11,92,89,4
三门峡,114,41,176,0.57,11,136,103,10
三明,56,32,60,1.75,17,79,67,21
三沙,30,7,20,0.3,30,51,58,6
三亚,25,10,20,0.5,3,51,49,0
上海,77,56,0,0.69,61,65,59,5
商洛,88,30,123,0.35,12,109,96,4
商丘,237,186,201,1.41,38,71,67,11
上饶,38,20,37,0.7,20,18,15,6
山南,38,8,36,0.55,3,100,74,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,44,16,39,0.63,14,94,87,7
汕尾,42,17,41,0.67,4,75,68,6
韶关,51,30,50,1.24,35,48,37,18
绍兴,94,61,136,0.89,49,97,75,8
邵阳,39,27,32,0.73,16,91,52,10
沈阳,41,11,29,0.31,7,94,80,7
深圳,37,22,36,0.59,25,55,51,4
石河子,30,8,23,0.35,9,94,56,7
石家庄,55,24,57,0.43,14,79,77,7
十堰,47,18,38,0.53,10,109,92,8
石嘴山,47,23,46,0.28,6,109,92,7
寿光,90,24,128,0.75,22,66,68,13
双鸭山,44,27,39,0.43,7,88,86,4
朔州,56,13,60,0.54,9,92,57,6
四平,41,12,26,0.4,7,90,80,3
松原,42,17,31,0.3,4,97,82,5
绥化,31,0,0,0.3,6,0,60,8
遂宁,53,23,53,0.4,10,133,83,11
随州,89,66,98,0.73,14,108,50,11
宿迁,60,32,68,0.7,25,96,80,9
苏州,111,83,102,0.79,70,41,42,7
宿州,92,68,119,0.67,10,110,97,8
塔城地区,50,10,49,0.6,7,102,72,4
泰安,99,62,145,0.83,26,112,95,17
太仓,50,25,49,0.5,35,69,66,13
太原,95,66,138,0.8,33,83,68,17
台州,45,12,24,0.33,15,100,88,3
泰州,75,53,97,0.83,18,121,116,6
唐山,54,20,56,0.85,32,62,64,15
天津,57,33,62,0.72,29,93,71,15
天水,98,30,143,0.57,7,124,90,9
铁岭,41,8,23,0.3,6,94,81,5
铜川,94,39,136,0.33,17,127,97,9
通化,32,6,17,0.45,5,71,62,1
通辽,42,10,31,0.43,9,87,82,5
铜陵,67,48,53,0.65,24,60,43,8
铜仁地区,34,16,29,0.7,15,107,44,4
吐鲁番地区,74,23,96,0.5,15,98,74,7
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,56,28,59,0.42,21,80,77,12
威海,47,10,30,0.3,12,94,93,2
渭南,77,30,102,0.28,16,134,76,6
文登,48,7,28,0.4,15,94,95,3
文山州,71,51,71,1.1,21,104,61,8
温州,48,21,47,0.68,37,93,79,8
乌海,44,11,40,0.4,6,98,87,4
武汉,80,58,77,1.63,58,30,19,8
芜湖,66,47,66,1.4,43,77,56,10
吴江,92,60,131,1.27,62,42,49,11
五家渠,27,12,14,0.8,5,84,42,4
乌兰察布,51,11,13,0.3,7,108,100,16
乌鲁木齐,36,19,35,0.76,15,97,58,10
武威,85,35,117,0.25,11,117,98,4
无锡,89,66,107,0.8,56,47,42,7
吴忠,69,16,85,0.53,6,104,99,5
梧州,61,38,69,1.47,46,11,4,16
厦门,39,16,37,0.53,11,94,76,5
西安,84,35,116,0.44,17,127,76,5
湘潭,41,27,40,0.56,16,98,76,6
湘西州,42,23,41,0.53,5,97,47,7
襄阳,53,17,54,0.6,14,127,93,7
咸宁,43,27,42,1.13,27,32,16,5
咸阳,112,43,171,0.52,13,110,74,5
孝感,87,57,121,1.15,15,73,39,4
锡林郭勒盟,38,11,0,0.1,5,85,75,10
兴安盟,42,7,26,0.3,5,86,83,3
邢台,60,16,67,0.45,15,91,82,6
西宁,62,19,71,0.57,11,101,89,5
新乡,84,32,116,0.57,24,92,78,19
信阳,65,46,66,0.55,12,123,73,5
新余,32,16,31,0.78,21,43,21,11
忻州,61,25,69,0.63,20,94,86,17
西双版纳州,82,60,86,0.7,11,143,84,10
宣城,45,31,40,0.9,40,69,61,4
许昌,101,62,150,1.0,22,85,72,9
徐州,79,45,105,0.5,27,108,103,11
雅安,48,16,30,0.38,14,138,95,8
延安,119,23,186,0.27,10,100,72,4
延边州,47,13,26,0.43,8,98,92,5
盐城,59,29,66,0.56,14,102,102,8
阳江,36,17,35,0.47,4,66,68,5
阳泉,56,27,59,0.64,20,79,77,5
扬州,82,48,111,0.5,30,93,83,9
烟台,46,10,27,0.22,14,88,90,3
宜宾,53,30,54,0.48,18,146,101,14
宜昌,54,30,56,0.54,11,119,68,7
宜春,49,24,48,0.76,25,32,20,8
伊春,41,7,14,0.3,5,81,80,4
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,62,34,72,0.6,17,67,35,15
银川,46,13,42,0.44,10,91,91,23
营口,43,10,26,0.2,17,89,85,6
鹰潭,25,16,24,0.26,15,68,31,8
义乌,21,6,9,0.6,40,48,39,4
宜兴,85,62,95,1.1,53,44,58,9
益阳,82,60,72,1.08,13,98,84,4
永州,32,18,31,0.46,24,70,47,6
岳阳,55,36,58,1.12,30,31,21,5
玉林,60,42,65,0.93,19,35,28,15
榆林,66,21,79,0.89,33,65,60,19
运城,117,38,182,0.53,7,131,97,7
云浮,45,23,44,0.83,26,44,40,17
玉树州,46,13,45,0.4,2,94,81,8
玉溪,65,33,50,0.7,8,133,116,6
枣庄,79,32,105,0.44,21,113,99,11
张家港,80,51,107,0.65,44,80,66,7
张家界,46,17,45,1.0,11,85,61,3
张家口,46,17,15,0.6,6,105,90,6
章丘,92,33,131,0.8,34,59,59,20
张掖,51,12,37,0.25,7,105,100,7
漳州,35,15,31,0.63,8,92,69,4
湛江,29,17,28,0.57,6,66,56,4
肇庆,54,37,56,0.73,21,73,51,6
昭通,65,31,46,0.7,12,118,116,9
招远,0,0,0,0.0,0,0,0,0
郑州,88,43,124,0.73,21,86,75,7
镇江,89,66,117,0.95,30,109,71,8
中山,33,21,32,0.48,4,85,64,5
中卫,102,24,151,0.4,5,105,101,5
周口,113,84,172,0.95,20,90,63,10
舟山,42,22,41,0.63,36,50,62,5
珠海,34,18,33,0.6,23,71,55,4
诸暨,0,0,0,0.0,0,0,0,0
驻马店,103,76,142,0.77,20,93,59,7
株洲,53,36,45,0.6,28,94,63,7
淄博,76,28,99,0.74,31,67,67,16
自贡,61,37,69,0.5,11,134,93,5
资阳,50,11,36,0.42,14,149,98,11
遵义,49,19,35,0.52,14,111,97,7
